Cells	Patients
A10_P1_M15	P1
A10_P4_M15	P1
A10_P5_M15	P1
A10_P6_M15	P1
A11_P2_M15	P1
A11_P5_M15	P1
A11_P6_M15	P1
A12_P1_M15	P1
A2_P1_M15	P1
A2_P2_M15	P1
A3_P2_M15	P1
A3_P6_M15	P1
A4_P1_M15	P1
A4_P3_M15	P1
A4_P6_M15	P1
A5_P1_M15	P1
A5_P5_M15	P1
A6_P1_M15	P1
A6_P2_M15	P1
A7_P1_M15	P1
A8_P1_M15	P1
A8_P2_M15	P1
A9_P1_M15	P1
B10_P1_M15	P1
B10_P4_M15	P1
B11_P2_M15	P1
B11_P6_M15	P1
B12_P1_M15	P1
B1_P1_M15	P1
B1_P2_M15	P1
B1_P4_M15	P1
B2_P2_M15	P1
B2_P6_M15	P1
B3_P1_M15	P1
B3_P2_M15	P1
B3_P6_M15	P1
B4_P3_M15	P1
B5_P5_M15	P1
B6_P1_M15	P1
B7_P1_M15	P1
B9_P2_M15	P1
B9_P6_M15	P1
C11_P2_M15	P1
C11_P3_M15	P1
C11_P5_M15	P1
C12_P1_M15	P1
C12_P2_M15	P1
C12_P5_M15	P1
C12_P6_M15	P1
C1_P1_M15	P1
C2_P2_M15	P1
C2_P6_M15	P1
C3_P2_M15	P1
C4_P1_M15	P1
C4_P2_M15	P1
C4_P6_M15	P1
C5_P6_M15	P1
C6_P2_M15	P1
C6_P5_M15	P1
C6_P6_M15	P1
C7_P1_M15	P1
C8_P1_M15	P1
C8_P6_M15	P1
C9_P1_M15	P1
D10_P1_M15	P1
D10_P2_M15	P1
D10_P4_M15	P1
D11_P3_M15	P1
D11_P5_M15	P1
D12_P1_M15	P1
D12_P2_M15	P1
D12_P5_M15	P1
D1_P1_M15	P1
D1_P6_M15	P1
D2_P2_M15	P1
D2_P3_M15	P1
D3_P2_M15	P1
D3_P6_M15	P1
D4_P2_M15	P1
D4_P6_M15	P1
D5_P1_M15	P1
D5_P2_M15	P1
D5_P3_M15	P1
D6_P1_M15	P1
D6_P5_M15	P1
D6_P6_M15	P1
D7_P1_M15	P1
D7_P2_M15	P1
D7_P5_M15	P1
D8_P5_M15	P1
D9_P2_M15	P1
E10_P1_M15	P1
E10_P2_M15	P1
E10_P6_M15	P1
E11_P1_M15	P1
E11_P2_M15	P1
E11_P5_M15	P1
E11_P6_M15	P1
E12_P2_M15	P1
E12_P4_M15	P1
E12_P6_M14	P1
E1_P1_M15	P1
E1_P2_M15	P1
E1_P4_m15	P1
E1_P5_M15	P1
E2_P2_M15	P1
E3_P1_M15	P1
E3_P6_M15	P1
E4_P1_M15	P1
E4_P2_M15	P1
E6_P5_M15	P1
E7_P1_M15	P1
E8_P2_M15	P1
E9_P1_M15	P1
F10_P1_M15	P1
F10_P2_M15	P1
F10_P5_M15	P1
F10_P6_M15	P1
F11_P1_M15	P1
F11_P2_M15	P1
F11_P5_M15	P1
F12_P1_M15	P1
F12_P6_M14	P1
F1_P2_M15	P1
F1_P4_M15	P1
F2_P1_M15	P1
F2_P6_M15	P1
F3_P1_M15	P1
F5_P1_M15	P1
F5_P5_M15	P1
F6_P2_M15	P1
F6_P3_M15	P1
F6_P5_M15	P1
F7_P1_M15	P1
F8_P5_M15	P1
G10_P1_M15	P1
G12_P1_M15	P1
G12_P2_M15	P1
G1_P1_M15	P1
G1_P2_M15	P1
G1_P4_M15	P1
G1_P5_M15	P1
G2_P2_M15	P1
G3_P1_M15	P1
G3_P3_M15	P1
G3_P5_M15	P1
G4_P1_M15	P1
G4_P2_M15	P1
G5_P1_M15	P1
G5_P6_M15	P1
G6_P2_M15	P1
G6_P5_M15	P1
G6_P6_M15	P1
G8_P2_M15	P1
G8_P5_M15	P1
G8_P6_M15	P1
G9_P1_M15	P1
G9_P5_M15	P1
H10_P4_M15	P1
H10_P5_M15	P1
H11_P3_M15	P1
H11_P6_M15	P1
H12_P2_M15	P1
H12_P5_M15	P1
H1_P2_M15	P1
H1_P4_M15	P1
H1_P6_M15	P1
H4_P6_M15	P1
H5_P1_M15	P1
H5_P5_M15	P1
H6_P1_M15	P1
H6_P3_M15	P1
H6_P6_M15	P1
H7_P1_M15	P1
H7_P5_M15	P1
H7_P6_M15	P1
H8_P1_M15	P1
