"Cells"	"Patients"
"A10_P1_M55_L001"	"P1"
"A10_P2_M55_L001"	"P1"
"A10_P3_M55_L001"	"P1"
"A10_P4_M55_L001"	"P1"
"A11_P1_M55_L001"	"P1"
"A11_P2_M55_L001"	"P1"
"A11_P3_M55_L001"	"P1"
"A11_P4_M55_L001"	"P1"
"A12_P2_M55_L001"	"P1"
"A2_P1_M55_L001"	"P1"
"A2_P3_M55_L001"	"P1"
"A2_P4_M55_L001"	"P1"
"A3_P1_M55_L001"	"P1"
"A3_P2_M55_L001"	"P1"
"A3_P4_M55_L001"	"P1"
"A4_P1_M55_L001"	"P1"
"A4_P2_M55_L001"	"P1"
"A4_P3_M55_L001"	"P1"
"A4_P4_M55_L001"	"P1"
"A5_P1_M55_L001"	"P1"
"A5_P2_M55_L001"	"P1"
"A5_P3_M55_L001"	"P1"
"A5_P4_M55_L001"	"P1"
"A6_P1_M55_L001"	"P1"
"A6_P3_M55_L001"	"P1"
"A6_P4_M55_L001"	"P1"
"A7_P1_M55_L001"	"P1"
"A7_P2_M55_L001"	"P1"
"A7_P4_M55_L001"	"P1"
"A8_P2_M55_L001"	"P1"
"A8_P3_M55_L001"	"P1"
"A9_P3_M55_L001"	"P1"
"A9_P4_M55_L001"	"P1"
"B10_P1_M55_L001"	"P1"
"B10_P3_M55_L001"	"P1"
"B11_P2_M55_L001"	"P1"
"B12_P2_M55_L001"	"P1"
"B1_P2_M55_L001"	"P1"
"B1_P4_M55_L001"	"P1"
"B2_P1_M55_L001"	"P1"
"B2_P2_M55_L001"	"P1"
"B3_P1_M55_L001"	"P1"
"B3_P4_M55_L001"	"P1"
"B4_P1_M55_L001"	"P1"
"B4_P2_M55_L001"	"P1"
"B4_P3_M55_L001"	"P1"
"B4_P4_M55_L001"	"P1"
"B5_P2_M55_L001"	"P1"
"B5_P3_M55_L001"	"P1"
"B6_P1_M55_L001"	"P1"
"B6_P3_M55_L001"	"P1"
"B7_P1_M55_L001"	"P1"
"B7_P2_M55_L001"	"P1"
"B7_P3_M55_L001"	"P1"
"B7_P4_M55_L001"	"P1"
"B8_P3_M55_L001"	"P1"
"B8_P4_M55_L001"	"P1"
"B9_P1_M55_L001"	"P1"
"B9_P2_M55_L001"	"P1"
"B9_P4_M55_L001"	"P1"
"C10_P1_M55_L001"	"P1"
"C10_P4_M55_L001"	"P1"
"C11_P3_M55_L001"	"P1"
"C12_P2_M55_L001"	"P1"
"C12_P3_M55_L001"	"P1"
"C12_P4_M55_L001"	"P1"
"C1_P2_M55_L001"	"P1"
"C1_P3_M55_L001"	"P1"
"C1_P4_M55_L001"	"P1"
"C2_P4_M55_L001"	"P1"
"C3_P3_M55_L001"	"P1"
"C3_P4_M55_L001"	"P1"
"C4_P2_M55_L001"	"P1"
"C5_P1_M55_L001"	"P1"
"C5_P2_M55_L001"	"P1"
"C5_P3_M55_L001"	"P1"
"C6_P2_M55_L001"	"P1"
"C6_P3_M55_L001"	"P1"
"C7_P1_M55_L001"	"P1"
"C7_P2_M55_L001"	"P1"
"C8_P4_M55_L001"	"P1"
"C9_P4_M55_L001"	"P1"
"D10_P4_M55_L001"	"P1"
"D11_P1_M55_L001"	"P1"
"D11_P2_M55_L001"	"P1"
"D11_P3_M55_L001"	"P1"
"D12_P4_M55_L001"	"P1"
"D1_P1_M55_L001"	"P1"
"D1_P2_M55_L001"	"P1"
"D1_P3_M55_L001"	"P1"
"D1_P4_M55_L001"	"P1"
"D2_P1_M55_L001"	"P1"
"D2_P2_M55_L001"	"P1"
"D2_P3_M55_L001"	"P1"
"D2_P4_M55_L001"	"P1"
"D3_P2_M55_L001"	"P1"
"D3_P3_M55_L001"	"P1"
"D3_P4_M55_L001"	"P1"
"D4_P1_M55_L001"	"P1"
"D4_P2_M55_L001"	"P1"
"D4_P3_M55_L001"	"P1"
"D4_P4_M55_L001"	"P1"
"D5_P2_M55_L001"	"P1"
"D5_P3_M55_L001"	"P1"
"D6_P4_M55_L001"	"P1"
"D7_P1_M55_L001"	"P1"
"D7_P3_M55_L001"	"P1"
"D7_P4_M55_L001"	"P1"
"D8_P1_M55_L001"	"P1"
"D8_P3_M55_L001"	"P1"
"D8_P4_M55_L001"	"P1"
"D9_P4_M55_L001"	"P1"
"E10_P1_M55_L001"	"P1"
"E10_P3_M55_L001"	"P1"
"E10_P4_M55_L001"	"P1"
"E11_P1_M55_L001"	"P1"
"E11_P3_M55_L001"	"P1"
"E11_P4_M55_L001"	"P1"
"E12_P1_M55_L001"	"P1"
"E12_P3_M55_L001"	"P1"
"E12_P4_M55_L001"	"P1"
"E1_P4_M55_L001"	"P1"
"E2_P1_M55_L001"	"P1"
"E2_P2_M55_L001"	"P1"
"E2_P3_M55_L001"	"P1"
"E3_P2_M55_L001"	"P1"
"E3_P4_M55_L001"	"P1"
"E4_P1_M55_L001"	"P1"
"E4_P2_M55_L001"	"P1"
"E4_P3_M55_L001"	"P1"
"E4_P4_M55_L001"	"P1"
"E5_P1_M55_L001"	"P1"
"E5_P2_M55_L001"	"P1"
"E5_P3_M55_L001"	"P1"
"E5_P4_M55_L001"	"P1"
"E6_P2_M55_L001"	"P1"
"E6_P3_M55_L001"	"P1"
"E6_P4_M55_L001"	"P1"
"E7_P1_M55_L001"	"P1"
"E7_P3_M55_L001"	"P1"
"E8_P1_M55_L001"	"P1"
"E8_P2_M55_L001"	"P1"
"E8_P3_M55_L001"	"P1"
"E9_P3_M55_L001"	"P1"
"F10_P1_M55_L001"	"P1"
"F10_P2_M55_L001"	"P1"
"F10_P4_M55_L001"	"P1"
"F11_P1_M55_L001"	"P1"
"F11_P2_M55_L001"	"P1"
"F12_P1_M55_L001"	"P1"
"F12_P2_M55_L001"	"P1"
"F12_P3_M55_L001"	"P1"
"F12_P4_M55_L001"	"P1"
"F1_P3_M55_L001"	"P1"
"F1_P4_M55_L001"	"P1"
"F2_P2_M55_L001"	"P1"
"F2_P4_M55_L001"	"P1"
"F3_P2_M55_L001"	"P1"
"F4_P1_M55_L001"	"P1"
"F5_P2_M55_L001"	"P1"
"F6_P1_M55_L001"	"P1"
"F7_P1_M55_L001"	"P1"
"F7_P2_M55_L001"	"P1"
"F8_P1_M55_L001"	"P1"
"F8_P2_M55_L001"	"P1"
"F8_P3_M55_L001"	"P1"
"F9_P1_M55_L001"	"P1"
"F9_P2_M55_L001"	"P1"
"G10_P3_M55_L001"	"P1"
"G10_P4_M55_L001"	"P1"
"G12_P1_M55_L001"	"P1"
"G1_P3_M55_L001"	"P1"
"G1_P4_M55_L001"	"P1"
"G2_P1_M55_L001"	"P1"
"G2_P2_M55_L001"	"P1"
"G3_P1_M55_L001"	"P1"
"G3_P4_M55_L001"	"P1"
"G4_P2_M55_L001"	"P1"
"G4_P3_M55_L001"	"P1"
"G5_P2_M55_L001"	"P1"
"G5_P3_M55_L001"	"P1"
"G5_P4_M55_L001"	"P1"
"G6_P1_M55_L001"	"P1"
"G6_P2_M55_L001"	"P1"
