"Cells"	"Patients"
"A10_P3_M34"	"P2"
"A10_P4_M34"	"P2"
"A11_P2_M34"	"P2"
"A11_P4_M34"	"P2"
"A12_P2_M34"	"P2"
"A12_P3_M34"	"P2"
"A12_P4_M34"	"P2"
"A2_P2_M34"	"P2"
"A2_P4_M34"	"P2"
"A3_P1_M34"	"P2"
"A3_P2_M34"	"P2"
"A3_P4_M34"	"P2"
"A4_P2_M34"	"P2"
"A4_P3_M34"	"P2"
"A4_P4_M34"	"P2"
"A5_P3_M34"	"P2"
"A6_P2_M34"	"P2"
"A6_P3_M34"	"P2"
"A7_P2_M34"	"P2"
"A7_P3_M34"	"P2"
"A7_P4_M34"	"P2"
"A8_P1_M34"	"P2"
"A8_P2_M34"	"P2"
"A8_P4_M34"	"P2"
"A9_P3_M34"	"P2"
"A9_P4_M34"	"P2"
"B10_P1_M34"	"P2"
"B10_P4_M34"	"P2"
"B11_P1_M34"	"P2"
"B11_P2_M34"	"P2"
"B11_P4_M15"	"P2"
"B12_P1_M34"	"P2"
"B12_P2_M34"	"P2"
"B12_P4_M34"	"P2"
"B1_P1_M34"	"P2"
"B1_P2_M34"	"P2"
"B1_P3_M34"	"P2"
"B2_P1_M34"	"P2"
"B2_P3_M34"	"P2"
"B2_P4_M34"	"P2"
"B3_P1_M34"	"P2"
"B3_P3_M34"	"P2"
"B3_P4_M34"	"P2"
"B4_P1_M34"	"P2"
"B4_P2_M34"	"P2"
"B4_P3_M34"	"P2"
"B4_P4_M34"	"P2"
"B5_P1_M34"	"P2"
"B5_P2_M34"	"P2"
"B5_P3_M34"	"P2"
"B5_P4_M34"	"P2"
"B6_P2_M34"	"P2"
"B6_P3_M34"	"P2"
"B6_P4_M34"	"P2"
"B7_P1_M34"	"P2"
"B7_P2_M34"	"P2"
"B7_P3_M34"	"P2"
"B8_P1_M34"	"P2"
"B8_P2_M34"	"P2"
"B8_P3_M34"	"P2"
"B8_P4_M34"	"P2"
"B9_P1_M34"	"P2"
"B9_P2_M34"	"P2"
"B9_P3_M34"	"P2"
"B9_P4_M34"	"P2"
"C10_P1_M34"	"P2"
"C10_P2_M34"	"P2"
"C10_P4_M34"	"P2"
"C11_P2_M34"	"P2"
"C11_P3_M34"	"P2"
"C12_P1_M34"	"P2"
"C12_P2_M34"	"P2"
"C12_P3_M34"	"P2"
"C12_P4_M34"	"P2"
"C1_P1_M34"	"P2"
"C1_P4_M34"	"P2"
"C2_P1_M34"	"P2"
"C2_P2_M34"	"P2"
"C2_P3_M34"	"P2"
"C3_P1_M34"	"P2"
"C3_P3_M34"	"P2"
"C3_P4_M34"	"P2"
"C4_P3_M34"	"P2"
"C4_P4_M34"	"P2"
"C5_P2_M34"	"P2"
"C5_P4_M34"	"P2"
"C6_P1_M34"	"P2"
"C6_P2_M34"	"P2"
"C7_P2_M34"	"P2"
"C7_P3_M34"	"P2"
"C7_P4_M34"	"P2"
"C8_P1_M34"	"P2"
"C8_P2_M34"	"P2"
"C8_P3_M34"	"P2"
"C8_P4_M34"	"P2"
"C9_P1_M34"	"P2"
"C9_P2_M34"	"P2"
"C9_P3_M34"	"P2"
"C9_P4_M34"	"P2"
"D10_P1_M34"	"P2"
"D10_P2_M34"	"P2"
"D10_P3_M34"	"P2"
"D11_P1_M34"	"P2"
"D12_P2_M34"	"P2"
"D1_P1_M34"	"P2"
"D1_P2_M34"	"P2"
"D2_P4_M34"	"P2"
"D4_P3_M34"	"P2"
"D4_P4_M34"	"P2"
"D5_P1_M34"	"P2"
"D5_P4_M34"	"P2"
"D7_P1_M34"	"P2"
"D7_P2_M34"	"P2"
"D7_P3_M34"	"P2"
"D8_P3_M34"	"P2"
"D9_P2_M34"	"P2"
"D9_P3_M34"	"P2"
"D9_P4_M34"	"P2"
"E10_P2_M34"	"P2"
"E10_P3_M34"	"P2"
"E10_P4_M34"	"P2"
"E11_P2_M34"	"P2"
"E11_P3_M34"	"P2"
"E12_P1_M34"	"P2"
"E12_P2_M34"	"P2"
"E12_P3_M34"	"P2"
"E12_P4_M34"	"P2"
"E1_P1_M34"	"P2"
"E1_P2_M34"	"P2"
"E1_P3_M34"	"P2"
"E1_P4_M34"	"P2"
"E2_P2_M34"	"P2"
"E2_P4_M34"	"P2"
"E3_P2_M34"	"P2"
"E4_P1_M34"	"P2"
"E4_P4_M34"	"P2"
"E5_P1_M34"	"P2"
"E5_P2_M34"	"P2"
"E7_P4_M34"	"P2"
"E8_P1_M34"	"P2"
"E8_P2_M34"	"P2"
"E8_P4_M34"	"P2"
"E9_P1_M34"	"P2"
"E9_P2_M34"	"P2"
"E9_P3_M34"	"P2"
"F10_P1_M34"	"P2"
"F10_P3_M34"	"P2"
"F10_P4_M34"	"P2"
"F11_P2_M34"	"P2"
"F11_P3_M34"	"P2"
"F12_P4_M34"	"P2"
"F1_P1_M34"	"P2"
"F1_P2_M34"	"P2"
"F1_P3_M34"	"P2"
"F2_P1_M34"	"P2"
"F2_P2_M34"	"P2"
"F2_P3_M34"	"P2"
"F2_P4_M34"	"P2"
"F3_P1_M34"	"P2"
"F3_P4_M34"	"P2"
"F4_P1_M34"	"P2"
"F4_P3_M34"	"P2"
"F5_P1_M34"	"P2"
"F6_P1_M34"	"P2"
"F6_P2_M34"	"P2"
"F6_P3_M34"	"P2"
"F7_P1_M34"	"P2"
"F7_P2_M34"	"P2"
"F7_P4_M34"	"P2"
"F9_P1_M34"	"P2"
"G10_P2_M34"	"P2"
"G10_P3_M34"	"P2"
"G10_P4_M34"	"P2"
"G11_P1_M34"	"P2"
"G11_P3_M34"	"P2"
"G11_P4_M34"	"P2"
"G12_P1_M34"	"P2"
"G12_P2_M34"	"P2"
"G12_P3_M34"	"P2"
"G12_P4_M34"	"P2"
"G1_P1_M34"	"P2"
"G1_P2_M34"	"P2"
"G2_P1_M34"	"P2"
"G2_P4_M34"	"P2"
"G3_P4_M34"	"P2"
"G4_P1_M34"	"P2"
"G5_P4_M34"	"P2"
"G6_P1_M34"	"P2"
"G6_P3_M34"	"P2"
"G7_P1_M34"	"P2"
"G7_P4_M34"	"P2"
"G8_P1_M34"	"P2"
"G8_P2_M34"	"P2"
"G8_P3_M34"	"P2"
"G8_P4_M34"	"P2"
"G9_P3_M34"	"P2"
"H10_P1_M34"	"P2"
"H10_P2_M34"	"P2"
"H10_P3_M34"	"P2"
"H11_P2_M34"	"P2"
"H11_P3_M34"	"P2"
"H11_P4_M34"	"P2"
"H12_P4_M34"	"P2"
"H1_P3_M34"	"P2"
"H2_P1_M34"	"P2"
"H2_P4_M34"	"P2"
"H3_P1_M34"	"P2"
"H3_P2_M34"	"P2"
"H4_P2_M34"	"P2"
"H4_P3_M34"	"P2"
"H4_P4_M34"	"P2"
"H5_P1_M34"	"P2"
"H5_P2_M34"	"P2"
"H5_P3_M34"	"P2"
"H5_P4_M34"	"P2"
"H6_P1_M34"	"P2"
"H6_P2_M34"	"P2"
"H6_P4_M34"	"P2"
"H7_P2_M34"	"P2"
"H7_P3_M34"	"P2"
"H7_P4_M34"	"P2"
"H8_P1_M34"	"P2"
"H8_P3_M34"	"P2"
"H8_P4_M34"	"P2"
"H9_P1_M34"	"P2"
"H9_P2_M34"	"P2"
"H9_P3_M34"	"P2"
"H9_P4_M34"	"P2"
"A10_P6_M17"	"P3"
"A11_P6_M17"	"P3"
"A12_P5_M17"	"P3"
"A12_P6_M17"	"P3"
"A2_P2_M17"	"P3"
"A2_P6_M17"	"P3"
"A3_P6_M17"	"P3"
"A4_P5_M17"	"P3"
"A5_P5_M17"	"P3"
"A7_P2_M17"	"P3"
"A7_P6_M17"	"P3"
"B10_P5_M17"	"P3"
"B12_P5_M17"	"P3"
"B12_P6_M17"	"P3"
"B1_P6_M17"	"P3"
"B2_P5_M17"	"P3"
"B3_P6_M17"	"P3"
"B4_P6_M17"	"P3"
"B9_P5_M17"	"P3"
"B9_P6_M17"	"P3"
"C10_P1_M17"	"P3"
"C10_P5_M17"	"P3"
"C10_P6_M17"	"P3"
"C11_P2_M17"	"P3"
"C12_P6_M17"	"P3"
"C2_P2_M17"	"P3"
"C2_P5_M17"	"P3"
"C3_P6_M17"	"P3"
"C4_P5_M17"	"P3"
"C5_P2_M17"	"P3"
"C5_P5_M17"	"P3"
"C5_P6_M17"	"P3"
"C6_P2_M17"	"P3"
"C6_P5_M17"	"P3"
"C8_P5_M17"	"P3"
"C9_P6_M17"	"P3"
"D10_P1_M17"	"P3"
"D10_P6_M17"	"P3"
"D11_P2_M17"	"P3"
"D11_P5_M17"	"P3"
"D12_P5_M17"	"P3"
"D12_P6_M17"	"P3"
"D1_P5_M17"	"P3"
"D3_P6_M17"	"P3"
"D4_P1_M17"	"P3"
"D5_P6_M17"	"P3"
"D9_P1_M17"	"P3"
"D9_P5_M17"	"P3"
"E10_P5_M17"	"P3"
"E11_P6_M17"	"P3"
"E12_P6_M17"	"P3"
"E1_P1_M17"	"P3"
"E1_P5_M17"	"P3"
"E1_P6_M17"	"P3"
"E2_P5_M17"	"P3"
"E3_P5_M17"	"P3"
"E5_P5_M17"	"P3"
"E6_P5_M17"	"P3"
"E9_P2_M17"	"P3"
"F11_P1_M17"	"P3"
"F11_P6_M17"	"P3"
"F1_P5_M17"	"P3"
"F2_P5_M17"	"P3"
"F4_P5_M17"	"P3"
"F5_P6_M17"	"P3"
"F7_P1_M17"	"P3"
"F7_P5_M17"	"P3"
"G10_P6_M17"	"P3"
"G11_P5_M17"	"P3"
"G12_P6_M17"	"P3"
"G1_P2_M17"	"P3"
"G1_P6_M17"	"P3"
"G2_P1_M17"	"P3"
"G2_P5_M17"	"P3"
"G5_P6_M17"	"P3"
"G6_P5_M17"	"P3"
"G6_P6_M17"	"P3"
"G7_P2_M17"	"P3"
"G7_P6_M17"	"P3"
"G8_P2_M17"	"P3"
"G8_P5_M17"	"P3"
"G8_P6_M17"	"P3"
"G9_P1_M17"	"P3"
"G9_P2_M17"	"P3"
"H10_P2_M17"	"P3"
"H10_P6_M17"	"P3"
"H11_P2_M17"	"P3"
"H11_P5_M17"	"P3"
"H12_P1_M17"	"P3"
"H12_P2_M17"	"P3"
"H12_P5_M17"	"P3"
"H4_P5_M17"	"P3"
"H5_P5_M17"	"P3"
"H5_P6_M17"	"P3"
"H6_P5_M17"	"P3"
"H6_P6_M17"	"P3"
"H7_P5_M17"	"P3"
"A12_P2_M42"	"P4"
"A12_P4_M42"	"P4"
"A2_P3_M42"	"P4"
"A3_P1_M42"	"P4"
"A4_P3_M42"	"P4"
"A5_P2_M42"	"P4"
"A5_P4_M42"	"P4"
"A6_P2_M42"	"P4"
"A8_P1_M42"	"P4"
"A9_P1_M42"	"P4"
"A9_P4_M42"	"P4"
"B10_P2_M42"	"P4"
"B10_P4_M42"	"P4"
"B11_P2_M42"	"P4"
"B11_P3_M42"	"P4"
"B11_P4_M42"	"P4"
"B1_P1_M42"	"P4"
"B1_P2_M42"	"P4"
"B1_P4_M42"	"P4"
"B2_P4_M42"	"P4"
"B4_P1_M42"	"P4"
"B4_P4_M42"	"P4"
"B6_P1_M42"	"P4"
"B6_P2_M42"	"P4"
"B6_P3_M42"	"P4"
"B7_P2_M42"	"P4"
"B8_P2_M42"	"P4"
"B8_P3_M42"	"P4"
"B8_P4_M42"	"P4"
"B9_P2_M42"	"P4"
"C11_P2_M42"	"P4"
"C11_P3_M42"	"P4"
"C12_P2_M42"	"P4"
"C1_P1_M42"	"P4"
"C1_P2_M42"	"P4"
"C3_P1_M42"	"P4"
"C3_P2_M42"	"P4"
"C4_P4_M42"	"P4"
"C6_P3_M42"	"P4"
"C7_P3_M42"	"P4"
"D10_P2_M42"	"P4"
"D10_P3_M42"	"P4"
"D11_P2_M42"	"P4"
"D11_P3_M42"	"P4"
"D1_P1_M42"	"P4"
"D1_P4_M42"	"P4"
"D2_P4_M42"	"P4"
"D3_P2_M42"	"P4"
"D4_P1_M42"	"P4"
"D4_P2_M42"	"P4"
"D5_P3_M42"	"P4"
"D6_P3_M42"	"P4"
"D7_P4_M42"	"P4"
"D8_P4_M42"	"P4"
"E10_P1_M42"	"P4"
"E10_P2_M42"	"P4"
"E10_P4_M42"	"P4"
"E12_P4_M42"	"P4"
"E1_P1_M42"	"P4"
"E1_P4_M42"	"P4"
"E2_P1_M42"	"P4"
"E3_P2_M42"	"P4"
"E3_P3_M42"	"P4"
"E4_P3_M42"	"P4"
"E5_P3_M42"	"P4"
"E6_P1_M42"	"P4"
"E6_P2_M42"	"P4"
"E7_P1_M42"	"P4"
"E7_P2_M42"	"P4"
"E7_P3_M42"	"P4"
"E8_P1_M42"	"P4"
"E9_P4_M42"	"P4"
"F10_P1_M42"	"P4"
"F11_P2_M42"	"P4"
"F12_P3_M42"	"P4"
"F12_P4_M42"	"P4"
"F1_P1_M42"	"P4"
"F1_P3_M42"	"P4"
"F1_P4_M42"	"P4"
"F2_P1_M42"	"P4"
"F3_P2_M42"	"P4"
"F5_P2_M42"	"P4"
"F5_P3_M42"	"P4"
"F5_P4_M42"	"P4"
